시군구명,연령(구분),사업장가입자,지역가입자,임의가입자,임의계속가입자
서울특별시 송파구,20_24,16075,6001,400,0
서울특별시 송파구,25_29,42185,11352,122,0
서울특별시 송파구,30_34,49244,11714,61,0
서울특별시 송파구,35_39,42592,9344,324,0
서울특별시 강동구,18_19,186,222,84,0
서울특별시 강동구,20_24,3114,4150,175,0
서울특별시 강동구,25_29,11726,7613,48,0
서울특별시 강동구,30_34,14120,7967,48,0
서울특별시 강동구,35_39,13794,6518,224,0
부산광역시 중구,18_19,165,22,1,0
부산광역시 중구,20_24,1632,402,5,0
부산광역시 중구,25_29,4015,654,2,0
부산광역시 중구,30_34,3843,666,1,0
부산광역시 중구,35_39,3494,468,2,0
부산광역시 서구,18_19,55,63,3,0
부산광역시 서구,20_24,690,974,26,0
부산광역시 서구,25_29,2067,1400,5,0
부산광역시 서구,30_34,2148,1296,5,0
부산광역시 서구,35_39,2007,1063,16,0
부산광역시 동구,18_19,56,49,1,0
부산광역시 동구,20_24,1247,603,16,0
부산광역시 동구,25_29,3912,1240,1,0
부산광역시 동구,30_34,4249,1271,2,0
부산광역시 동구,35_39,3561,1046,14,0
부산광역시 영도구,18_19,35,61,8,0
부산광역시 영도구,20_24,664,862,12,0
부산광역시 영도구,25_29,2010,1324,3,0
부산광역시 영도구,30_34,2527,1238,1,0
부산광역시 영도구,35_39,2587,1071,14,0
부산광역시 부산진구,18_19,193,212,17,0
부산광역시 부산진구,20_24,3629,3953,61,0
부산광역시 부산진구,25_29,9421,7042,21,0
부산광역시 부산진구,30_34,10407,6845,23,0
부산광역시 부산진구,35_39,7860,5061,69,0
부산광역시 동래구,18_19,53,184,31,0
부산광역시 동래구,20_24,1389,2241,69,0
부산광역시 동래구,25_29,4384,3843,13,0
부산광역시 동래구,30_34,5067,3684,24,0
부산광역시 동래구,35_39,4175,3131,76,0
부산광역시 남구,18_19,131,180,29,0
부산광역시 남구,20_24,1838,3334,90,0
부산광역시 남구,25_29,6371,4156,21,0
부산광역시 남구,30_34,7575,3557,19,0
부산광역시 남구,35_39,6654,2788,60,0
부산광역시 북구,18_19,47,132,21,0
부산광역시 북구,20_24,979,2199,68,0
부산광역시 북구,25_29,3085,3934,10,0
부산광역시 북구,30_34,3485,3594,18,0
부산광역시 북구,35_39,2769,2924,49,0
부산광역시 해운대구,18_19,238,303,60,0
부산광역시 해운대구,20_24,3149,3334,116,0
부산광역시 해운대구,25_29,9556,5442,31,0
부산광역시 해운대구,30_34,10979,5630,25,0
부산광역시 해운대구,35_39,8959,4517,108,0
부산광역시 사하구,18_19,101,178,21,0
부산광역시 사하구,20_24,1664,2805,42,0
부산광역시 사하구,25_29,4895,4122,12,0
부산광역시 사하구,30_34,6137,3625,16,0
부산광역시 사하구,35_39,5787,3096,54,0
부산광역시 금정구,18_19,77,137,26,0
부산광역시 금정구,20_24,1280,2570,82,0
부산광역시 금정구,25_29,3853,3989,27,0
부산광역시 금정구,30_34,4961,3175,5,0
부산광역시 금정구,35_39,4574,2317,37,0
부산광역시 강서구,18_19,228,83,13,0
부산광역시 강서구,20_24,3011,844,10,0
부산광역시 강서구,25_29,8820,1291,3,0
부산광역시 강서구,30_34,12777,1660,25,0
부산광역시 강서구,35_39,13143,1864,71,0
부산광역시 연제구,18_19,92,119,26,0
부산광역시 연제구,20_24,1151,1788,55,0
부산광역시 연제구,25_29,3730,3318,6,0
부산광역시 연제구,30_34,4607,3267,15,0
부산광역시 연제구,35_39,4229,2614,68,0
부산광역시 수영구,18_19,78,110,13,0
부산광역시 수영구,20_24,1234,1580,45,0
부산광역시 수영구,25_29,3503,3197,12,0
부산광역시 수영구,30_34,3535,3306,11,0
